,1,weights_1,2,weights_2
0,(d ∧ v₁) → v₁,+inf,(r ∧ v₁) → v₁,+inf
1,(d ∧ v₁) → v₂,-0.32817343380651787,(r ∧ v₁) → v₂,1.705928033378274
2,(d ∧ v₁) → v₃,1.4576653550118095,(r ∧ v₁) → v₃,0.9864949905474035
3,(d ∧ v₁) → v₄,-1.4141864076517061,(r ∧ v₁) → v₄,4.127134385045092
4,(d ∧ v₁) → v₅,-1.1794316954098183,(r ∧ v₁) → v₅,3.0239031505206873
5,(d ∧ v₁) → v₆,-0.8503606499177493,(r ∧ v₁) → v₆,2.16730289747117
6,(d ∧ v₁) → v₇,0.7695201593445192,(r ∧ v₁) → v₇,1.319372048627043
7,(d ∧ v₁) → v₈,1.0354333870465782,(r ∧ v₁) → v₈,1.086636097621394
8,(d ∧ v₁) → v₉,0.6931471805599453,(r ∧ v₁) → v₉,0.8097084689660063
9,(d ∧ v₁) → v₁₀,-0.6842582331426993,(r ∧ v₁) → v₁₀,1.6165553802029644
10,(d ∧ v₁) → v₁₁,-0.5159407244327611,(r ∧ v₁) → v₁₁,0.8946292350929758
11,(d ∧ v₁) → v₁₂,-1.3040562628829186,(r ∧ v₁) → v₁₂,1.705928033378274
12,(d ∧ v₁) → v₁₃,-1.0710926653877333,(r ∧ v₁) → v₁₃,2.16730289747117
13,(d ∧ v₁) → v₁₄,-0.992307708743801,(r ∧ v₁) → v₁₄,4.127134385045092
14,(d ∧ v₁) → v₁₅,-0.09385844957113829,(r ∧ v₁) → v₁₅,0.7695201593445192
15,(d ∧ v₁) → v₁₆,2.5084371471981943,(r ∧ v₁) → v₁₆,2.16730289747117
16,(d ∧ v₂) → v₁,-0.013072081567352775,(r ∧ v₂) → v₁,-0.37729423114146804
17,(d ∧ v₂) → v₂,+inf,(r ∧ v₂) → v₂,+inf
18,(d ∧ v₂) → v₃,1.1968043148473233,(r ∧ v₂) → v₃,-0.5451855231063939
19,(d ∧ v₂) → v₄,-1.158121461400679,(r ∧ v₂) → v₄,+inf
20,(d ∧ v₂) → v₅,-0.8625653325179921,(r ∧ v₂) → v₅,3.4316803983872313
21,(d ∧ v₂) → v₆,-0.36109728392660206,(r ∧ v₂) → v₆,3.0239031505206873
22,(d ∧ v₂) → v₇,0.2135741002980591,(r ∧ v₂) → v₇,-0.4710623905939777
23,(d ∧ v₂) → v₈,0.6931471805599453,(r ∧ v₂) → v₈,-0.5596157879354228
24,(d ∧ v₂) → v₉,0.2135741002980591,(r ∧ v₂) → v₉,-0.6021754023542185
25,(d ∧ v₂) → v₁₀,-0.5596157879354228,(r ∧ v₂) → v₁₀,0.1649475888579016
26,(d ∧ v₂) → v₁₁,-0.05406722127027582,(r ∧ v₂) → v₁₁,-0.4558189942537792
27,(d ∧ v₂) → v₁₂,-1.1040797708502432,(r ∧ v₂) → v₁₂,1.8035939268750578
28,(d ∧ v₂) → v₁₃,-0.6842582331426993,(r ∧ v₂) → v₁₃,3.4316803983872313
29,(d ∧ v₂) → v₁₄,-0.7369498032183383,(r ∧ v₂) → v₁₄,3.0239031505206873
30,(d ∧ v₂) → v₁₅,0.007905179507113247,(r ∧ v₂) → v₁₅,-0.6436989051459642
31,(d ∧ v₂) → v₁₆,2.031432322493475,(r ∧ v₂) → v₁₆,0.6931471805599453
32,(d ∧ v₃) → v₁,-0.5596157879354228,(r ∧ v₃) → v₁,1.5341458075191619
33,(d ∧ v₃) → v₂,-0.8380812052822796,(r ∧ v₃) → v₂,1.5341458075191619
34,(d ∧ v₃) → v₃,+inf,(r ∧ v₃) → v₃,+inf
35,(d ∧ v₃) → v₄,-2.0609794788401006,(r ∧ v₃) → v₄,+inf
36,(d ∧ v₃) → v₅,-1.7661170386147174,(r ∧ v₃) → v₅,2.733903579928544
37,(d ∧ v₃) → v₆,-1.158121461400679,(r ∧ v₃) → v₆,2.5084371471981943
38,(d ∧ v₃) → v₇,0.2135741002980591,(r ∧ v₃) → v₇,2.5084371471981943
39,(d ∧ v₃) → v₈,0.7306985262120778,(r ∧ v₃) → v₈,1.8035939268750578
40,(d ∧ v₃) → v₉,0.189027798074038,(r ∧ v₃) → v₉,1.5341458075191619
41,(d ∧ v₃) → v₁₀,-1.0263988024811161,(r ∧ v₃) → v₁₀,2.5084371471981943
42,(d ∧ v₃) → v₁₁,-0.9460327010728926,(r ∧ v₃) → v₁₁,1.1403361320395096
43,(d ∧ v₃) → v₁₂,-1.913723462559412,(r ∧ v₃) → v₁₂,1.9113046198778376
44,(d ∧ v₃) → v₁₃,-1.5786176144521786,(r ∧ v₃) → v₁₃,1.9113046198778376
45,(d ∧ v₃) → v₁₄,-1.511624602411657,(r ∧ v₃) → v₁₄,+inf
46,(d ∧ v₃) → v₁₅,-0.4091825845082968,(r ∧ v₃) → v₁₅,1.3862943611198906
47,(d ∧ v₃) → v₁₆,2.5084371471981943,(r ∧ v₃) → v₁₆,+inf
48,(d ∧ v₄) → v₁,1.8035939268750578,(r ∧ v₄) → v₁,-1.158121461400679
49,(d ∧ v₄) → v₂,3.4316803983872313,(r ∧ v₄) → v₂,-0.31143615845988804
50,(d ∧ v₄) → v₃,2.3237873006446486,(r ∧ v₄) → v₃,-1.2424001814598216
51,(d ∧ v₄) → v₄,+inf,(r ∧ v₄) → v₄,+inf
52,(d ∧ v₄) → v₅,3.4316803983872313,(r ∧ v₄) → v₅,2.16730289747117
53,(d ∧ v₄) → v₆,4.127134385045092,(r ∧ v₄) → v₆,1.319372048627043
54,(d ∧ v₄) → v₇,1.6165553802029644,(r ∧ v₄) → v₇,-1.0821374514646047
55,(d ∧ v₄) → v₈,1.705928033378274,(r ∧ v₄) → v₈,-1.232000977046939
56,(d ∧ v₄) → v₉,1.9113046198778376,(r ∧ v₄) → v₉,-1.2836402070598072
57,(d ∧ v₄) → v₁₀,1.705928033378274,(r ∧ v₄) → v₁₀,-0.32817343380651787
58,(d ∧ v₄) → v₁₁,3.0239031505206873,(r ∧ v₄) → v₁₁,-1.252762968495368
59,(d ∧ v₄) → v₁₂,2.16730289747117,(r ∧ v₄) → v₁₂,1.1403361320395096
60,(d ∧ v₄) → v₁₃,2.733903579928544,(r ∧ v₄) → v₁₃,1.086636097621394
61,(d ∧ v₄) → v₁₄,4.127134385045092,(r ∧ v₄) → v₁₄,3.0239031505206873
62,(d ∧ v₄) → v₁₅,1.8035939268750578,(r ∧ v₄) → v₁₅,-1.3344409995096351
63,(d ∧ v₄) → v₁₆,2.5084371471981943,(r ∧ v₄) → v₁₆,0.09531017980432493
64,(d ∧ v₅) → v₁,0.7306985262120778,(r ∧ v₅) → v₁,-1.114979266132315
65,(d ∧ v₅) → v₂,1.256357939413227,(r ∧ v₅) → v₂,-0.2425198302773484
